,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,Porteirinha,45,BR,1586662218,77,-15.74,-43.03,70.29,5.08
282,Hithadhoo,15,MV,1586661990,67,-0.6,73.08,84.51,7.9
283,Matagami,90,CA,1586662218,68,49.75,-77.63,26.6,8.05
284,Coyhaique,40,CL,1586662024,70,-45.58,-72.07,44.6,2.24
285,Izberbash,84,RU,1586662219,61,42.57,47.86,50.0,6.71
286,Kristinehamn,100,SE,1586662219,100,59.31,14.11,46.0,11.41
287,Oruzgan,100,AF,1586662219,36,32.83,66.0,56.89,6.87
288,Port Hardy,20,CA,1586662219,40,50.7,-127.42,51.8,8.05
289,Asău,14,RO,1586662220,57,46.43,26.4,37.0,3.36
290,Stabroek,0,BE,1586662220,87,51.33,4.37,55.0,1.12
291,Oktyabr'skoye,100,RU,1586662220,93,43.06,44.74,39.2,4.47
292,Mildura,0,AU,1586662220,42,-34.2,142.15,66.0,4.7
293,Baoning,4,CN,1586662221,36,25.34,110.03,64.4,13.42
294,Sheridan,90,US,1586662221,79,44.83,-106.92,24.8,9.17
295,Östersund,100,SE,1586662221,80,63.18,14.64,35.6,11.41
296,Pechenga,20,RU,1586662221,85,69.53,31.17,17.6,6.93
297,Bonavista,45,CA,1586662222,85,48.65,-53.11,33.01,13.0
298,Plettenberg Bay,78,ZA,1586662222,52,-34.05,23.37,65.79,9.22
299,Portland,20,US,1586661763,47,45.52,-122.68,57.2,9.17
300,Shibata,75,JP,1586662222,46,37.95,139.33,57.99,9.17
301,Manaus,100,BR,1586661686,100,-3.1,-60.02,75.2,2.24
302,Korla,41,CN,1586662223,15,41.76,86.15,65.52,2.44
303,Dutlwe,10,BW,1586662223,49,-23.98,23.9,64.81,5.57
304,Bourail,71,NC,1586662224,67,-21.57,165.48,79.5,1.99
305,Sumbuya,36,SL,1586662224,87,7.65,-11.96,77.92,1.77
306,Baracoa,0,CU,1586662224,81,20.35,-74.5,79.48,9.51
307,Havøysund,75,NO,1586662187,68,71.0,24.66,30.2,5.82
308,Prabumulih,83,ID,1586662225,65,-3.45,104.25,87.6,2.8
309,Roald,100,NO,1586661995,81,62.58,6.13,46.99,17.22
310,Salinas,90,US,1586661939,81,36.68,-121.66,57.99,6.93
311,Nuuk,100,GL,1586662226,90,64.18,-51.72,35.6,12.75
312,Raudeberg,100,NO,1586662226,93,61.99,5.14,44.6,27.51
313,Pasni,61,PK,1586662226,69,25.26,63.47,77.63,3.96
314,Agirish,98,RU,1586662226,91,61.92,63.02,32.9,2.64
315,Macamic,90,CA,1586662227,47,48.75,-79.0,35.6,6.93
316,Vorontsovka,3,RU,1586662227,83,50.61,40.35,32.58,15.84
317,Songyang,0,CN,1586662227,23,34.46,113.03,64.13,13.85
318,Sioux Lookout,90,CA,1586662228,74,50.1,-91.92,28.4,9.17
319,Yumbe,100,UG,1586662228,59,3.47,31.25,70.72,3.27
320,Point Pleasant,1,US,1586662228,39,40.08,-74.07,50.0,4.7
321,Kaa-Khem,57,RU,1586662228,53,51.68,94.73,41.56,0.85
322,Marsh Harbour,70,BS,1586662010,83,26.54,-77.06,73.33,20.24
323,Seminole,1,US,1586662124,73,28.71,-81.21,73.99,8.05
324,Belen,2,TR,1586662230,82,36.49,36.22,57.2,4.7
325,Mindelo,75,CV,1586662230,78,16.89,-24.98,71.6,17.22
326,Torbay,5,CA,1586662230,96,47.67,-52.73,33.01,21.92
327,Kaitangata,86,NZ,1586661948,65,-46.28,169.85,64.0,1.99
328,Kungurtug,96,RU,1586662231,47,50.6,97.52,44.02,1.45
329,Anloga,40,GH,1586662231,83,5.79,0.9,84.2,5.82
330,Vila do Maio,46,CV,1586662231,78,15.13,-23.22,73.4,8.05
331,Kirakira,94,SB,1586662009,72,-10.45,161.92,84.15,6.33
332,Lebu,0,CL,1586662232,74,-37.62,-73.65,51.85,13.51
333,Masuguru,100,TZ,1586662233,92,-11.37,38.42,70.07,3.85
334,Kabanjahe,75,ID,1586662234,66,3.1,98.49,89.6,6.93
335,Lábrea,97,BR,1586662234,94,-7.26,-64.8,75.16,0.65
336,Antalaha,18,MG,1586662022,83,-14.9,50.28,76.32,10.56
337,Wajima,75,JP,1586662000,35,37.4,136.9,55.4,14.99
338,Lavrentiya,97,RU,1586662235,96,65.58,-171.0,32.4,9.89
339,Broome,1,US,1586662236,86,42.25,-75.83,34.0,2.86
340,Ilulissat,86,GL,1586662236,68,69.22,-51.1,28.4,6.93
341,Antofagasta,75,CL,1586662082,72,-23.65,-70.4,66.2,5.82
342,Colac,99,AU,1586662126,88,-38.33,143.58,57.99,6.53
343,Oslo,90,NO,1586662237,93,59.91,10.75,41.0,11.41
344,Corralillo,6,CU,1586662237,80,22.98,-80.59,79.3,10.22
345,Tazovsky,86,RU,1586662237,96,67.47,78.7,14.11,7.85
346,Makkah al Mukarramah,39,SA,1586662197,41,21.43,39.83,66.38,6.71
347,Ajdabiya,0,LY,1586662239,57,30.76,20.23,57.25,7.45
348,Leningradskiy,85,RU,1586662239,91,69.38,178.42,18.28,4.36
349,Yulara,60,AU,1586662240,11,-25.24,130.99,89.6,6.93
350,Arica,90,CL,1586662240,68,-18.48,-70.3,71.6,5.82
351,Rawson,0,AR,1586662240,40,-43.3,-65.1,54.82,5.53
352,Viking,52,CA,1586662241,88,53.1,-111.77,14.27,7.58
353,Isla Mujeres,20,MX,1586662241,78,21.23,-86.73,80.6,10.29
354,Rincon,1,US,1586661957,63,32.3,-81.24,68.0,5.82
355,Skibbereen,75,IE,1586662241,87,51.55,-9.27,48.2,8.05
356,Labuhan,49,ID,1586662009,68,-6.88,112.21,85.69,5.1
357,Hofn,5,IS,1586661957,89,64.25,-15.21,30.72,20.24
358,Cabinda,97,AO,1586662242,86,-5.55,12.2,80.31,5.17
359,Galle,11,LK,1586662242,74,6.04,80.22,82.81,3.15
360,Jumla,0,NP,1586662018,13,29.27,82.18,60.57,2.13
361,Baniachang,0,BD,1586662243,31,24.52,91.37,90.0,4.7
362,Santiago del Estero,19,AR,1586662243,58,-27.8,-64.26,63.59,8.28
363,Sola,95,VU,1586662243,72,-13.88,167.55,81.48,11.88
364,Kutum,100,SD,1586662243,18,14.2,24.67,63.66,7.4
365,Kapuskasing,75,CA,1586662244,64,49.42,-82.43,35.6,5.82
366,Gambēla,100,ET,1586662244,60,8.25,34.58,77.34,2.62
367,Tymovskoye,97,RU,1586662244,76,50.85,142.66,37.31,6.46
368,Fortuna,90,US,1586662244,87,40.6,-124.16,52.0,8.05
369,Jieshi,0,CN,1586662245,54,22.81,115.83,69.01,3.0
370,Elko,75,US,1586662245,32,41.0,-115.5,53.6,4.7
371,Khani,90,GE,1586662245,100,41.96,42.96,44.6,4.7
372,Murgab,75,TM,1586662245,100,37.5,61.97,57.2,11.41
373,Kasongo-Lunda,100,CD,1586662246,79,-6.47,16.82,71.1,0.83
374,Selma,20,US,1586662020,63,36.57,-119.61,66.2,2.13
375,Moerai,69,PF,1586662246,74,-22.43,-151.33,82.49,1.54
376,Hargeisa,76,SO,1586662051,44,9.56,44.06,71.33,7.29
377,Arrondissement de Narbonne,18,FR,1586662248,93,43.08,2.83,57.2,3.36
378,Aquiraz,40,BR,1586662249,88,-3.9,-38.39,84.0,2.24
379,Bograd,0,RU,1586662250,52,54.23,90.83,42.8,11.18
380,Guangzhou,0,CN,1586662046,40,23.12,113.25,69.01,13.42
381,Ninghai,20,CN,1586662250,48,29.29,121.42,62.01,17.9
382,Pathein,86,MM,1586662251,46,16.78,94.73,89.8,8.41
383,Jasper,75,US,1586662251,67,37.2,-94.35,63.0,13.87
384,River Falls,1,US,1586662029,42,44.86,-92.62,51.8,12.75
385,Viedma,100,AR,1586662252,55,-40.81,-63.0,52.57,5.19
386,Tsabong,0,BW,1586662252,40,-26.02,22.4,68.58,8.95
387,Namtsy,40,RU,1586662252,55,62.72,129.67,39.2,13.42
388,Tevaitoa,22,PF,1586662252,72,-16.78,-151.5,83.44,11.95
389,Nikel,20,RU,1586662252,85,69.41,30.22,17.6,6.93
390,Udachny,20,RU,1586661969,54,66.42,112.4,30.2,8.95
391,Chara,100,RU,1586662254,60,56.91,118.26,38.52,2.73
392,Alihe,0,CN,1586662256,23,50.57,123.72,62.6,5.46
393,Tautira,100,PF,1586661961,66,-17.73,-149.15,86.0,4.7
394,Romny,0,UA,1586662258,88,50.75,33.47,31.33,7.34
395,Derzhavīnsk,89,KZ,1586662258,58,51.1,66.32,43.47,7.36
396,Gisborne,15,NZ,1586662259,40,-38.65,178.0,73.0,11.01
397,Kamaishi,75,JP,1586662260,49,39.27,141.88,53.6,6.93
398,Tuatapere,32,NZ,1586662260,51,-46.13,167.68,72.0,11.99
399,Calvinia,95,ZA,1586662261,64,-31.47,19.78,55.72,11.65
400,Ambilobe,0,MG,1586662261,82,-13.2,49.05,71.83,4.74
401,Maridi,100,SS,1586662262,79,4.92,29.47,69.01,2.37
402,Orchard Homes,90,US,1586662263,80,46.86,-114.05,30.2,8.05
403,Fare,60,PF,1586661977,70,-16.7,-151.02,83.44,10.96
404,Henties Bay,3,NA,1586662263,86,-22.12,14.28,64.0,1.99
405,Smithers,5,CA,1586662007,30,54.78,-127.17,41.0,4.7
406,The Valley,20,AI,1586662116,78,18.22,-63.06,80.6,6.93
407,Quatre Cocos,40,MU,1586662265,83,-20.21,57.76,80.01,14.99
408,Novoil'insk,100,RU,1586662265,32,51.68,108.71,54.18,7.05
409,Gariāband,0,IN,1586662265,61,20.64,82.06,78.8,3.36
410,San Quintín,20,MX,1586662080,81,30.48,-115.95,59.65,15.14
411,Muroto-misakicho,75,JP,1586661985,87,33.28,134.15,51.8,8.05
412,Montgomery,1,US,1586662260,53,39.15,-77.2,51.01,2.39
413,Klamath Falls,1,US,1586662077,50,42.22,-121.78,51.8,14.99
414,Banda Aceh,60,ID,1586662267,68,5.56,95.32,85.78,4.81
415,Pisco,40,PE,1586662267,78,-13.7,-76.22,73.4,2.24
416,Borogontsy,100,RU,1586662267,91,62.67,131.17,33.42,5.88
417,Linxia Chengguanzhen,19,CN,1586662267,19,35.6,103.21,50.23,5.39
418,La Santisima Trinidad,39,BO,1586662268,66,-14.83,-64.9,70.54,0.94
419,Dubti,13,ET,1586662269,55,11.74,41.09,81.37,9.19
420,Bonthe,11,SL,1586662269,83,7.53,-12.51,80.33,3.56
421,Dingli,0,MT,1586662269,87,35.86,14.38,55.4,6.93
422,Buin,75,CL,1586662269,72,-33.73,-70.75,59.0,5.82
423,Nanortalik,100,GL,1586662270,76,60.14,-45.24,36.9,38.36
424,Hambantota,16,LK,1586662271,74,6.12,81.12,83.28,9.6
425,Krasnozerskoye,0,RU,1586662271,82,53.98,79.24,35.04,7.54
426,Mayumba,98,GA,1586662072,87,-3.43,10.66,77.72,11.21
427,Itirapina,0,BR,1586662272,82,-22.25,-47.82,62.6,6.93
428,Nizhniy Baskunchak,0,RU,1586662272,73,48.22,46.83,38.91,17.0
429,Srandakan,87,ID,1586662272,63,-7.94,110.25,85.19,2.48
430,Sokoni,100,TZ,1586662273,89,-6.43,39.55,79.83,20.49
431,Copala,0,MX,1586662273,70,16.65,-98.98,79.3,5.08
432,Scarborough,59,GB,1586662274,93,54.28,-0.4,51.01,2.24
433,Mayo,1,US,1586662274,70,38.89,-76.51,52.0,2.28
434,Makakilo City,20,US,1586662225,83,21.35,-158.09,82.4,10.29
435,La Ronge,75,CA,1586662275,78,55.1,-105.28,15.8,5.82
436,Zarichne,83,UA,1586662275,78,51.81,26.13,33.42,3.91
437,Sharan,100,RU,1586662276,79,54.82,54.0,39.58,10.38
438,Micheweni,100,TZ,1586662277,80,-4.97,39.83,82.06,11.86
439,Mokhsogollokh,100,RU,1586662277,73,61.47,128.92,37.71,11.18
440,Coahuayana Viejo,55,MX,1586662277,78,18.73,-103.68,73.89,3.98
441,Tiarei,100,PF,1586662278,66,-17.53,-149.33,86.0,4.7
442,Agogo,97,GH,1586662012,87,6.8,-1.08,73.45,2.95
443,Dalby,0,AU,1586662279,15,-27.18,151.27,78.8,12.75
444,Kumul,42,CN,1586662008,14,42.8,93.45,64.92,7.49
445,Nova Granada,75,BR,1586662279,50,-20.53,-49.31,75.2,4.7
446,Leshukonskoye,0,RU,1586662280,96,64.9,45.76,20.28,2.53
447,George Town,20,MY,1586662280,63,5.41,100.34,91.4,2.24
448,Chicama,76,PE,1586662280,66,-7.84,-79.15,76.12,6.24
449,Carutapera,98,BR,1586662280,86,-1.2,-46.02,79.79,5.88
450,Ostrovnoy,0,RU,1586661985,93,68.05,39.51,14.67,10.6
451,Dessie,94,ET,1586662281,43,11.13,39.63,51.73,1.48
452,Terney,0,RU,1586662282,58,45.05,136.61,45.68,3.71
453,Pontal do Paraná,75,BR,1586662282,100,-25.65,-48.51,59.0,4.7
454,Salym,22,RU,1586662283,84,60.06,71.48,40.1,4.29
455,Cravo Norte,100,CO,1586662283,65,6.3,-70.2,83.1,0.47
456,Cortez,1,US,1586662284,28,37.35,-108.59,46.4,4.7
457,Flin Flon,86,CA,1586662284,91,54.77,-101.86,9.66,4.12
458,Thinadhoo,0,MV,1586662284,64,0.53,72.93,84.18,5.5
459,Batemans Bay,0,AU,1586662285,36,-35.72,150.18,73.0,5.84
460,Mattru,35,SL,1586662023,87,7.62,-11.83,77.47,1.88
461,Aswān,0,EG,1586662285,39,24.09,32.91,59.47,7.94
462,Sabang,55,ID,1586662285,71,5.89,95.32,85.19,9.42
463,Zhigansk,71,RU,1586662286,92,66.77,123.37,25.92,15.61
464,Olavarría,100,AR,1586662286,71,-36.89,-60.32,59.0,4.12
465,Rio Branco,19,BR,1586662287,100,-9.97,-67.81,75.2,1.9
466,Qasigiannguit,100,GL,1586662287,68,68.82,-51.19,28.4,6.93
467,Åmot,100,NO,1586662287,93,59.57,7.99,36.0,1.01
468,Payo,92,ID,1586662288,65,-3.75,103.64,86.32,2.59
469,Ixtapa,20,MX,1586662288,73,20.7,-105.2,75.2,4.7
470,Todos Santos,40,MX,1586662288,60,23.45,-110.22,69.01,11.41
471,Gazojak,69,TM,1586662289,32,41.19,61.4,61.27,5.06
472,‘Āhuimanu,75,US,1586662289,65,21.44,-157.84,82.4,14.99
473,Honiara,75,SB,1586662289,79,-9.43,159.95,84.2,2.24
474,Abéché,100,TD,1586662290,14,13.83,20.83,79.09,17.58
475,Comé,40,BJ,1586662291,83,6.41,1.88,82.4,8.05
476,Shubarkuduk,3,KZ,1586662291,59,49.14,56.49,42.57,9.53
477,Los Llanos de Aridane,90,ES,1586662291,72,28.66,-17.92,66.2,9.17
478,Wattegama,4,LK,1586662291,67,6.8,81.48,84.45,4.72
479,Broken Hill,0,AU,1586662292,36,-31.95,141.43,62.6,11.41
480,Lokosovo,96,RU,1586662292,97,61.13,74.82,38.32,7.4
481,Sangar,100,RU,1586662292,91,63.92,127.47,33.37,10.92
482,Calama,0,CL,1586662292,40,-22.47,-68.93,51.8,6.93
483,Kedrovyy,0,RU,1586662293,52,56.17,91.82,41.0,8.95
484,Fergus Falls,90,US,1586662293,59,46.28,-96.08,34.0,14.99
485,Puerto Rico,0,AR,1586662293,70,-26.8,-55.02,57.22,2.53
486,High Rock,81,BS,1586662293,82,26.62,-78.28,75.52,18.9
487,Bucerías,20,MX,1586662294,73,20.75,-105.33,75.2,4.7
488,Develi,20,TR,1586662294,41,38.39,35.49,32.0,3.38
489,Raymond,1,US,1586662295,59,43.9,-70.47,36.0,6.55
490,Diamantino,66,BR,1586662295,79,-14.41,-56.45,74.1,1.14
491,Kalabo,61,ZM,1586662295,69,-14.97,22.68,63.68,4.45
492,Parkes,0,AU,1586662296,47,-33.13,148.18,66.0,5.01
493,Almaznyy,20,RU,1586662002,80,48.04,40.05,33.8,8.95
494,Menomonie,90,US,1586662202,32,44.88,-91.92,53.6,6.93
495,Igrim,100,RU,1586662296,93,63.19,64.42,28.15,5.35
496,Port Macquarie,0,AU,1586662296,35,-31.43,152.92,73.99,8.05
497,Jimma,56,ET,1586662297,53,7.67,36.83,61.21,0.65
498,Kilindoni,100,TZ,1586662025,77,-7.91,39.67,82.49,13.18
499,Dabhoi,4,IN,1586662297,15,22.18,73.43,92.97,7.74
500,Mitsamiouli,100,KM,1586662297,73,-11.38,43.28,83.82,8.01
501,Dalbandin,100,PK,1586662298,19,28.89,64.41,80.13,3.87
502,Bruneck,75,IT,1586662298,69,46.8,11.94,48.99,4.7
503,Port-Gentil,99,GA,1586662298,84,-0.72,8.78,79.27,13.6
504,Christchurch,94,NZ,1586662047,37,-43.53,172.63,72.0,11.41
505,Padang,48,ID,1586662299,61,-0.95,100.35,87.93,1.23
506,Isiro,100,CD,1586662299,80,2.77,27.62,68.38,1.99
507,Kiunga,86,PG,1586662300,67,-6.12,141.29,88.99,1.59
508,Vilsbiburg,0,DE,1586662300,93,48.45,12.35,46.0,1.12
509,Yashan,16,CN,1586662300,47,22.2,109.94,65.7,17.0
510,Oron,100,NG,1586662300,83,4.83,8.23,75.45,0.87
511,Mareeba,100,AU,1586662301,70,-17.0,145.43,89.01,6.93
512,Lázaro Cárdenas,31,MX,1586662301,83,17.96,-102.2,74.68,1.12
513,Gwadar,20,PK,1586662197,74,25.12,62.33,77.68,4.81
514,Oxapampa,82,PE,1586662303,53,-10.58,-75.4,59.92,2.1
515,Conceição da Barra,13,BR,1586662303,88,-18.59,-39.73,76.89,6.4
516,Mogoytuy,0,RU,1586662304,20,51.28,114.92,63.82,7.58
517,Chimbote,35,PE,1586662304,76,-9.09,-78.58,73.51,5.37
518,Châtellerault,4,FR,1586662304,71,46.8,0.53,50.0,3.36
519,Grimstad,78,NO,1586662305,100,58.34,8.59,43.0,9.17
520,Norrtälje,90,SE,1586662305,93,59.76,18.7,43.0,12.75
521,Sarangani,37,PH,1586662305,78,5.4,125.46,81.61,7.23
522,Kendari,93,ID,1586662306,68,-3.94,122.5,85.01,3.98
523,Shāmgarh,0,IN,1586662306,18,24.18,75.63,88.65,8.03
524,Nālūt,0,LY,1586662306,29,30.33,10.85,61.56,12.71
525,Pozo Colorado,0,PY,1586662306,47,-23.49,-58.8,62.22,3.62
526,Yuancheng,0,CN,1586662307,21,36.65,107.79,50.38,5.06
527,Sarab,92,IR,1586662307,53,38.61,44.99,45.5,3.71
528,Port Keats,93,AU,1586662307,59,-14.25,129.55,88.86,6.4
529,Seydi,100,TM,1586662307,66,39.48,62.91,64.31,7.16
530,Adamantas,0,GR,1586662307,71,36.73,24.43,55.4,8.05
531,Jieznas,33,LT,1586662308,59,54.6,24.17,35.6,4.7
532,Būrewāla,79,PK,1586662308,30,30.17,72.65,85.68,4.41
533,Magalia,1,US,1586662308,59,39.81,-121.58,68.0,11.41
534,Faya,65,SA,1586662308,82,18.39,42.45,62.6,2.71
535,Impfondo,100,CG,1586662309,88,1.64,18.07,70.29,4.63
536,Moose Factory,90,CA,1586662309,86,51.26,-80.61,26.6,4.7
537,Itamarandiba,21,BR,1586662309,77,-17.86,-42.86,64.58,3.15
538,Muros,90,ES,1586662309,93,42.78,-9.06,55.0,5.97
539,Den Helder,90,NL,1586662310,57,52.96,4.76,53.01,11.41
540,Palm Beach,75,US,1586662310,69,26.71,-80.04,79.0,12.75
541,Magadan,98,RU,1586662310,90,59.57,150.8,23.67,3.71
542,Pangai,75,TO,1586662311,69,-19.8,-174.35,80.6,9.17
543,Price,75,US,1586662011,49,39.6,-110.81,50.0,9.17
544,Tāybād,92,IR,1586662311,58,34.74,60.78,63.37,12.75
545,Daru,62,PG,1586662311,69,-9.08,143.21,85.21,9.53
546,Codrington,95,AU,1586662312,59,-38.27,141.97,58.06,10.25
547,Pokhara,0,NP,1586662017,13,28.23,83.98,79.57,1.52
548,Mount Isa,1,AU,1586662313,10,-20.73,139.5,87.8,11.41
549,Hingatungan,0,PH,1586662313,47,10.58,125.19,87.71,4.83
550,Malbork,92,PL,1586662314,33,54.04,19.03,48.99,11.41
551,Nhulunbuy,75,AU,1586662188,79,-12.23,136.77,84.2,8.05
552,Te Anau,80,NZ,1586662315,75,-45.42,167.72,56.39,3.71
553,São Paulo de Olivença,100,BR,1586662315,94,-3.38,-68.87,75.15,0.63
554,São Félix do Xingu,97,BR,1586662316,91,-6.64,-51.99,74.01,0.49
555,Lodja,98,CD,1586662316,85,-3.48,23.43,70.43,1.79
556,Bereda,40,ES,1586662317,100,43.27,-7.54,52.0,1.12
557,São José da Coroa Grande,68,BR,1586662238,78,-8.9,-35.15,79.97,5.91
558,Port Hedland,20,AU,1586662317,46,-20.32,118.57,91.4,13.87
559,Kamphaeng Phet,62,TH,1586662318,20,16.48,99.52,96.01,3.94
560,Ridgecrest,1,US,1586662319,48,35.62,-117.67,62.6,10.29
561,Kholodnyy,59,RU,1586662319,83,62.72,147.95,25.54,2.93
562,Kibala,99,TD,1586662319,78,9.11,18.35,73.4,3.51
563,Nara,75,JP,1586662319,81,34.69,135.8,51.01,8.05
